"country_txt","code","nkill","nwound"
"Dominican Republic","DOM","36","130"
"United States","USA","3914","20976"
"Uruguay","URY","12","18"
"Italy","ITA","614","1517"
"Guatemala","GTM","5609","2123"
"Philippines","PHL","8321","13012"
"Venezuela","VEN","237","284"
"West Germany (FRG)","DEU","289","1148"
"Switzerland","CHE","94","124"
"Jordan","JOR","140","264"
"Brazil","BRA","233","215"
"Egypt","EGY","3919","4940"
"Argentina","ARG","643","981"
"Lebanon","LBN","4229","11038"
"Japan","JPN","101","7051"
"Ireland","IRL","129","175"
"Turkey","TUR","6290","9999"
"Paraguay","PRY","57","73"
"Iran","IRN","1826","4331"
"United Kingdom","GBR","3735","11166"
"Colombia","COL","14220","11648"
"Greece","GRC","343","811"
"Nicaragua","NIC","8209","2768"
"Spain","ESP","1796","5664"
"Belgium","BEL","94","540"
"Mexico","MEX","810","755"
"Netherlands","NLD","39","56"
"Canada","CAN","367","149"
"Australia","AUS","25","110"
"Pakistan","PAK","24141","43181"
"Ethiopia","ETH","1550","1265"
"Sweden","SWE","24","92"
"Costa Rica","CRI","43","77"
"Bolivia","BOL","98","235"
"Israel","ISR","1952","8320"
"Poland","POL","11","34"
"Taiwan","TWN","60","90"
"Panama","PAN","44","92"
"West Bank and Gaza Strip","PSE","1658","3295"
"Austria","AUT","40","141"
"India","IND","19042","29899"
"France","FRA","880","3053"
"Cambodia","KHM","541","769"
"Brunei","BRN","0","1"
"Zaire","COD","146","166"
"People's Republic of the Congo","COG","15","0"
"Portugal","PRT","58","137"
"Algeria","DZA","9898","9152"
"El Salvador","SLV","13846","8564"
"Thailand","THA","2686","7755"
"Haiti","HTI","336","308"
"Sudan","SDN","3958","2719"
"Morocco","MAR","290","207"
"Cyprus","CYP","47","45"
"Afghanistan","AFG","39971","46408"
"Peru","PER","12458","5871"
"Chile","CHL","1008","1920"
"Honduras","HND","357","330"
"Ecuador","ECU","78","119"
"New Zealand","NZL","1","2"
"Zambia","ZMB","49","35"
"Malaysia","MYS","166","125"
"Singapore","SGP","5","3"
"Botswana","BWA","15","16"
"Kuwait","KWT","61","298"
"Jamaica","JAM","37","44"
"Chad","TCD","883","1705"
"Syria","SYR","15635","15753"
"South Korea","KOR","16","143"
"United Arab Emirates","ARE","120","27"
"South Africa","ZAF","2689","4619"
"Kenya","KEN","1855","6365"
"Iraq","IRQ","79565","137937"
"Somalia","SOM","11545","11830"
"Sri Lanka","LKA","14985","15591"
"Namibia","NAM","211","403"
"Bahamas","BHS","1","0"
"Nigeria","NGA","23239","13179"
"Barbados","BRB","76","3"
"Trinidad and Tobago","TTO","10","38"
"Myanmar","MMR","1072","1627"
"Bangladesh","BGD","1155","7530"
"Angola","AGO","2569","2249"
"Mauritania","MRT","45","34"
"Djibouti","DJI","274","165"
"Indonesia","IDN","1231","2462"
"Rhodesia","ZWE","180","156"
"Soviet Union","RUS","92","151"
"Guyana","GUY","41","27"
"Mozambique","MOZ","2611","1420"
"Tunisia","TUN","345","438"
"Denmark","DNK","9","35"
"Uganda","UGA","2981","1278"
"Norway","NOR","79","88"
"Lesotho","LSO","37","33"
"Tanzania","TZA","53","245"
"Gabon","GAB","6","3"
"Libya","LBY","3054","4211"
"Saudi Arabia","SAU","680","1762"
"Bahrain","BHR","46","197"
"Hong Kong","HKG","4","102"
"Senegal","SEN","212","255"
"Zimbabwe","ZWE","158","239"
"Guinea","GIN","212","72"
"Grenada","GRD","8","21"
"New Hebrides","VUT","0","0"
"Belize","BLZ","1","0"
"Guadeloupe","GLP","16","59"
"Martinique","MTQ","8","13"
"Vatican City","VAT","0","3"
"Albania","ALB","50","138"
"Central African Republic","CAF","1962","1101"
"Seychelles","SYC","0","0"
"Dominica","DMA","5","13"
"Qatar","QAT","4","13"
"Bulgaria","BGR","32","39"
"Swaziland","SWZ","4","5"
"Suriname","SUR","29","23"
"Luxembourg","LUX","0","1"
"Iceland","ISL","0","0"
"French Guiana","GUF","5","19"
"Falkland Islands","FLK","2","3"
"Western Sahara","ESH","2","7"
"Malta","MLT","4","12"
"New Caledonia","NCL","34","22"
"Romania","ROU","4","9"
"Niger","NER","1476","519"
"Nepal","NPL","1992","2296"
"Togo","TGO","72","33"
"Finland","FIN","11","30"
"Fiji","FJI","8","18"
"Ghana","GHA","10","7"
"Maldives","MDV","22","123"
"Mauritius","MUS","0","1"
"Hungary","HUN","6","17"
"Laos","LAO","27","66"
"Papua New Guinea","PNG","85","103"
"China","CHN","1016","1878"
"Liberia","LBR","178","50"
"Republic of the Congo","COG","184","99"
"Mali","MLI","1374","1505"
"Germany","DEU","84","683"
"Yemen","YEM","9236","10489"
"Rwanda","RWA","3146","923"
"Sierra Leone","SLE","831","126"
"Cameroon","CMR","2337","1271"
"Cuba","CUB","8","10"
"Croatia","HRV","248","73"
"Georgia","GEO","278","401"
"Azerbaijan","AZE","198","169"
"Madagascar","MDG","31","185"
"Lithuania","LTU","1","2"
"Burundi","BDI","3383","2251"
"Ukraine","UKR","2447","3222"
"Burkina Faso","BFA","138","227"
"Moldova","MDA","11","78"
"Armenia","ARM","37","74"
"Russia","RUS","4353","7654"
"Ivory Coast","CIV","268","182"
"Antigua and Barbuda","ATG","2","3"
"Bosnia-Herzegovina","BIH","85","159"
"Tajikistan","TJK","280","1047"
"Malawi","MWI","33","0"
"Uzbekistan","UZB","68","200"
"Latvia","LVA","2","39"
"Estonia","EST","3","11"
"Vietnam","VNM","1","27"
"Kazakhstan","KAZ","37","21"
"Comoros","COM","1","2"
"Benin","BEN","0","7"
"Slovak Republic","SVK","7","11"
"Macedonia","MKD","55","72"
"Wallis and Futuna","WLF","0","0"
"Belarus","BLR","16","215"
"Czech Republic","CZE","6","29"
"Slovenia","SVN","1","2"
"Gambia","GMB","13","2"
"North Korea","PRK","3","4"
"Eritrea","ERI","25","28"
"St. Kitts and Nevis","KNA","0","9"
"French Polynesia","PYF","0","13"
"Macau","MAC","3","49"
"Kyrgyzstan","KGZ","12","24"
"Vanuatu","VUT","0","0"
"Democratic Republic of the Congo","COD","4192","1926"
"Solomon Islands","SLB","4","0"
"East Timor","TLS","8","10"
"St. Lucia","LCA","2","12"
"Guinea-Bissau","GNB","17","30"
"Montenegro","MNE","1","0"
"Turkmenistan","TKM","3","3"
"Bhutan","BTN","11","7"
"Serbia","SRB","3","9"
"Equatorial Guinea","GNQ","1","3"
"South Sudan","SSD","2687","1475"
